geneid,iDUX4_logFC,iDUX4_logCPM,iDUX4_LR,iDUX4_pval,iDUX4_fdr,hl.ratio,area,protein.length,rep,IQR,QCoD,count,mean,sd,zscore,pval
BAMBI,4.83515371,4.232136554,120.3292985,5.36E-28,6.85E-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RND1,4.781218045,2.71259716,34.79883292,3.66E-09,1.58E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTN4R,4.763511,3.133829699,49.93646625,1.59E-12,8.99E-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZNF705A,4.751268726,6.939375557,837.2904297,4.21E-184,5.17E-182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRIM51,4.747250265,5.728005491,355.9061214,2.19E-79,8.97E-78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PARD6B,4.74347088,1.938951551,16.28628986,5.45E-05,0.000144808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3GL2,4.737130864,1.836438505,14.57523512,1.35E-04,3.36E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RNASE10,4.708074531,3.048238291,46.07932429,1.14E-11,6.02E-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRAMEF3,4.706820838,2.245812372,22.19075629,2.47E-06,7.92E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATF3,4.695100434,5.617910628,326.4194534,5.79E-73,2.11E-71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZNF217,4.65110233,10.03875378,4130.926723,0,0,6.34586419,588613.127,1048,3.630136986,3.089158067,0.486798641,146,-0.001131214,0.068442966,92.73407842,0
DEFB103B,4.646177767,4.529943322,146.4538974,1.03E-33,1.57E-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OVOL1,4.634260493,1.958952345,16.30720227,5.39E-05,1.44E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NXF1,4.630102271,9.94987517,2760.083083,0,0,3.168038109,704317.1909,619,3.658536585,2.22968167,0.703805192,82,-0.001166931,0.087723621,36.12715731,8.50E-286
TBX4,4.609753556,2.599041407,30.56132834,3.23E-08,1.27E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RNF152,4.598411761,3.719391293,78.20590969,9.28E-19,7.78E-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESRP1,4.586926875,2.287093605,22.6472765,1.95E-06,6.31E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STK33,4.572698688,2.031114343,17.40576201,3.02E-05,8.34E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALYREF,4.553960074,9.893479021,3574.000679,0,0,1.614307772,1955107.03,264,3.428571429,2.36354737,1.464124382,28,-0.001300454,0.158770081,10.17577253,2.54E-24
BCAS1,4.552703629,2.343743418,23.79215571,1.07E-06,3.58E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRAMEF18,4.542954844,1.952031122,15.90863013,6.65E-05,1.74E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCK,4.534021259,1.988608643,16.51772952,4.82E-05,1.29E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SIPA1L2,4.533874488,4.959426674,197.5053196,7.32E-45,1.59E-43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HSPB3,4.532211597,3.78932105,81.72411139,1.56E-19,1.38E-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCDC148,4.526607548,2.804477621,36.23984629,1.74E-09,7.74E-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDKN1C,4.522394954,3.058158664,45.08831378,1.88E-11,9.82E-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AKR1D1,4.508563367,1.765734433,12.85930893,3.36E-04,7.88E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FOS,4.502825844,7.021255266,815.9644026,1.82E-179,2.15E-177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PDZD2,4.446226593,2.362936544,23.77889154,1.08E-06,3.60E-06,4.670329703,283475.2656,2839,3,0,0,1,0.109783394,2.273827036,2.00566984,0.044891485
PTP4A1,4.428510498,11.30927225,7102.383411,0,0,7.35955657,1142120.438,173,3.698113208,2.686857098,0.365084102,53,-1.87E-04,0.109291834,67.34029201,0
FGFR3,4.424348356,4.208086006,110.7728687,6.64E-26,7.73E-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RIPK4,4.421453546,2.022294489,16.75119907,4.26E-05,1.15E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USP17L2,4.415686324,3.087896431,45.37622985,1.63E-11,8.51E-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PNP,4.413353546,11.00308845,5923.954505,0,0,2.873090492,1146982.842,289,3.522277228,1.202287018,0.418464723,404,2.17E-04,0.038863655,73.92186533,0
ALPPL2,4.412967514,3.478126641,62.55201854,2.59E-15,1.76E-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TPPP,4.406436375,2.004537549,16.38774106,5.16E-05,1.38E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARID3B,4.404195595,4.987126216,197.1403959,8.79E-45,1.90E-43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRIM49,4.393618013,7.87485203,1509.310658,0,0,6.039006487,1168162.086,452,3.842105263,2.065310784,0.341995126,19,-0.001133508,0.201574058,29.96486781,2.82E-197
NRARP,4.39056961,2.170494427,19.43502428,1.04E-05,3.06E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TPD52,4.385652052,2.88365796,37.87979395,7.52E-10,3.45E-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRIM48,4.380203452,6.717961769,675.4917142,6.39E-149,6.21E-147,6.378528041,819606.5547,208,3.5,1.47743626,0.231626521,2,0.08803603,1.264554976,4.974470965,6.54E-07
TRIM53BP,4.371706136,6.106901795,438.5837254,2.20E-97,1.11E-95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HSPA1B,4.368531845,9.426697274,1956.37444,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRG2C,4.362245976,5.78628672,348.4969911,9.00E-78,3.59E-76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KIF5C,4.352636369,3.330278281,54.86427717,1.29E-13,7.83E-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RASD1,4.325231166,5.032320694,200.8778514,1.34E-45,3.01E-44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZNF705C,4.322878862,1.829074412,13.26951625,2.70E-04,6.40E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HSPA1A,4.317594947,9.542958838,2279.494511,0,0,1.285796998,2055401.143,641,3.567226891,0.594670273,0.46249157,238,-1.95E-04,0.052023351,24.71952211,6.60E-135
HEY2,4.313870547,1.545667173,9.616361151,0.001928515,0.003948972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KLHL15,4.302985184,6.008965343,403.871023,7.91E-90,3.66E-88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KITLG,4.302195679,6.634762424,627.9845485,1.37E-138,1.20E-136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CTD-2215E18.1,4.294561056,1.565754122,9.734078934,0.001808826,0.003721069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
